keycode,value
keyup,-59
keydown,-60
keyleft,-61
keyright,-62
keycenter,-26
keysoft1,-1
keysoft2,-4
keyback,0
keynum0,0
keynum1,0
keynum2,0
keynum3,0
keynum4,0
keynum5,0
keynum6,0
keynum7,0
keynum8,0
keynum9,0
keystar,0
keypound,0
haskeyboard,0
